DATE,ATM,Cash
2010-05-01,ATM1,87.74250905374657
2010-05-02,ATM1,103.53745335117287
2010-05-03,ATM1,73.47878557581797
2010-05-04,ATM1,9.2029456882073
2010-05-05,ATM1,100.05305708117356
2010-05-06,ATM1,80.39313206145839
2010-05-07,ATM1,87.07814551774057
2010-05-08,ATM1,88.29179530849672
2010-05-09,ATM1,102.90228190593818
2010-05-10,ATM1,73.4181800486952
2010-05-11,ATM1,9.80793137431871
2010-05-12,ATM1,100.52433655746334
2010-05-13,ATM1,80.20628942258703
2010-05-14,ATM1,87.31978715062158
2010-05-15,ATM1,88.35566495880938
2010-05-16,ATM1,102.82842573760172
2010-05-17,ATM1,73.41113298754836
2010-05-18,ATM1,9.878277617069093
2010-05-19,ATM1,100.57913577206203
2010-05-20,ATM1,80.18456382158207
2010-05-21,ATM1,87.34788464343089
2010-05-22,ATM1,88.36309156414637
2010-05-23,ATM1,102.81983792459113
2010-05-24,ATM1,73.41031357266715
2010-05-25,ATM1,9.886457304593444
2010-05-26,ATM1,100.58550768951592
2010-05-27,ATM1,80.18203762230615
2010-05-28,ATM1,87.35115175056286
2010-05-29,ATM1,88.36395511148946
2010-05-30,ATM1,102.81883935488509
2010-05-31,ATM1,73.4102182931267
2010-05-01,ATM2,66.43421825994895
2010-05-02,ATM2,72.7844389398786
2010-05-03,ATM2,13.63303092641122
2010-05-04,ATM2,5.210392262390756
2010-05-05,ATM2,97.7030553674332
2010-05-06,ATM2,88.37329230825007
2010-05-07,ATM2,64.97892303848337
2010-05-08,ATM2,66.44071138291356
2010-05-09,ATM2,72.79073236274333
2010-05-10,ATM2,13.624373671027215
2010-05-11,ATM2,5.208365400227034
2010-05-12,ATM2,97.7118534650887
2010-05-13,ATM2,88.37135324294137
2010-05-14,ATM2,64.97170636777169
2010-05-15,ATM2,66.44559846246061
2010-05-16,ATM2,72.79523019522931
2010-05-17,ATM2,13.617960792739893
2010-05-18,ATM2,5.207014137293427
2010-05-19,ATM2,97.71830592381147
2010-05-20,ATM2,88.36980737765215
2010-05-21,ATM2,64.96646709228037
2010-05-22,ATM2,66.44927287701547
2010-05-23,ATM2,72.79844108765646
2010-05-24,ATM2,13.61321287202466
2010-05-25,ATM2,5.206122784963044
2010-05-26,ATM2,97.72303610453535
2010-05-27,ATM2,88.36858330271873
2010-05-28,ATM2,64.96266544503784
2010-05-29,ATM2,66.4520327670368
2010-05-30,ATM2,72.80073051375535
2010-05-31,ATM2,13.609699406905264
2010-05-01,ATM3,87.66666666666667
2010-05-02,ATM3,87.66666666666667
2010-05-03,ATM3,87.66666666666667
2010-05-04,ATM3,87.66666666666667
2010-05-05,ATM3,87.66666666666667
2010-05-06,ATM3,87.66666666666667
2010-05-07,ATM3,87.66666666666667
2010-05-08,ATM3,87.66666666666667
2010-05-09,ATM3,87.66666666666667
2010-05-10,ATM3,87.66666666666667
2010-05-11,ATM3,87.66666666666667
2010-05-12,ATM3,87.66666666666667
2010-05-13,ATM3,87.66666666666667
2010-05-14,ATM3,87.66666666666667
2010-05-15,ATM3,87.66666666666667
2010-05-16,ATM3,87.66666666666667
2010-05-17,ATM3,87.66666666666667
2010-05-18,ATM3,87.66666666666667
2010-05-19,ATM3,87.66666666666667
2010-05-20,ATM3,87.66666666666667
2010-05-21,ATM3,87.66666666666667
2010-05-22,ATM3,87.66666666666667
2010-05-23,ATM3,87.66666666666667
2010-05-24,ATM3,87.66666666666667
2010-05-25,ATM3,87.66666666666667
2010-05-26,ATM3,87.66666666666667
2010-05-27,ATM3,87.66666666666667
2010-05-28,ATM3,87.66666666666667
2010-05-29,ATM3,87.66666666666667
2010-05-30,ATM3,87.66666666666667
2010-05-31,ATM3,87.66666666666667
2010-05-01,ATM4,331.18997178737044
2010-05-02,ATM4,394.2616583333118
2010-05-03,ATM4,400.995742927421
2010-05-04,ATM4,97.22044440767341
2010-05-05,ATM4,437.4378382368059
2010-05-06,ATM4,282.7400913682507
2010-05-07,ATM4,510.71300738465675
2010-05-08,ATM4,331.18997178737044
2010-05-09,ATM4,394.2616583333118
2010-05-10,ATM4,400.995742927421
2010-05-11,ATM4,97.22044440767341
2010-05-12,ATM4,437.4378382368059
2010-05-13,ATM4,282.7400913682507
2010-05-14,ATM4,510.71300738465675
2010-05-15,ATM4,331.18997178737044
2010-05-16,ATM4,394.2616583333118
2010-05-17,ATM4,400.995742927421
2010-05-18,ATM4,97.22044440767341
2010-05-19,ATM4,437.4378382368059
2010-05-20,ATM4,282.7400913682507
2010-05-21,ATM4,510.71300738465675
2010-05-22,ATM4,331.18997178737044
2010-05-23,ATM4,394.2616583333118
2010-05-24,ATM4,400.995742927421
2010-05-25,ATM4,97.22044440767341
2010-05-26,ATM4,437.4378382368059
2010-05-27,ATM4,282.7400913682507
2010-05-28,ATM4,510.71300738465675
2010-05-29,ATM4,331.18997178737044
2010-05-30,ATM4,394.2616583333118
2010-05-31,ATM4,400.995742927421
